participant.code,treatment,total_distance,type,options_visited,value_first
,,,,,
02zu8j6b,C,497.6770033,A,1,6
,,,,,
05drd90r,C*,1266.711807,A<O,2,2
,,,,,
0hccppog,C*,439.2247032,A,1,6
,,,,,
0z868pb6,C*,2426.30188,A<O,2,2
,,,,,
10954ri4,C,951.0924049,A<O,2,1
,,,,,
16pudvx7,R,538.4679236,A,1,5
,,,,,
1kswq22r,R,573.5030167,A,1,3
,,,,,
1lfcafly,C,447.2976374,A,1,6
,,,,,
1tof4o1l,R*,1295.287051,A>O,2,5
,,,,,
1vaf2ahv,C*,4078.36384,A=O,6,6
,,,,,
2143g6to,R*,846.4956068,A,1,5
,,,,,
21gz3mo8,C*,296.4127723,A,1,4
,,,,,
2bmul504,R*,550.4515346,A,1,6
,,,,,
2erl1189,R*,546.8136673,A,1,6
,,,,,
2jzefefg,C*,2863.886944,A=O,6,6
,,,,,
2ls8t9r8,R*,860.4158865,A,1,5
,,,,,
2y3gkcaq,R*,935.6259631,A,1,4
,,,,,
34tj2pql,R*,520.9855964,A,1,5
,,,,,
37rysv6x,R,485.3998869,A,1,4
,,,,,
3dravjr0,R*,1087.360733,A,1,4
,,,,,
3lf26qdo,R*,2058.500841,A=O,2,2
,,,,,
3n5rpgc7,C,604.3830746,A,1,6
,,,,,
3x9na4nl,C*,633.5370139,A,1,4
,,,,,
3xyecx77,R*,295.4314453,A,1,5
,,,,,
4111ba0n,C,6614.886807,A<O,6,1
,,,,,
4c50mpuj,R,452.7326152,A,1,1
,,,,,
4h9meeyy,C,311.8907987,A,1,2
,,,,,
4imzjr9n,C*,419.854776,A,1,3
,,,,,
4no3ml9t,R,802.3497539,A>O,2,6
,,,,,
4omrnkfc,R,366.7587329,A,1,3
,,,,,
4oy0xqys,C*,432.7039318,A,1,4
,,,,,
4uvqjk2r,R*,597.02945,A,1,1
,,,,,
53skofpx,C*,518.5943347,A,1,4
,,,,,
57unkx1x,R,456.3426646,A,1,3
,,,,,
5h344y1i,R*,765.2089319,A,1,5
,,,,,
5w5vhn8u,R,447.2864966,A,1,4
,,,,,
6dr8eova,R*,499.5765974,A,1,3
,,,,,
6o3s4wc5,C,477.720938,A,1,4
,,,,,
74ni1hib,C*,,A<O,6,
,,,,,
7e4zk8zz,R*,558.5463149,A,1,5
,,,,,
7nfvp2sr,C,1160.681189,A<O,3,4
,,,,,
82zwgqw0,C*,395.1149,A,1,3
,,,,,
877tyueq,C*,2870.364665,A<O,5,4
,,,,,
8au1f1vd,C,527.2536082,A,1,5
,,,,,
8c24gmfj,R,473.2469023,A,1,2
,,,,,
8l01ik8k,R,478.758979,A,1,4
,,,,,
8li6jl76,C*,1077.300743,A,1,1
,,,,,
8lwjle2v,C,583.6116352,A,1,5
,,,,,
8s1wsytf,C,553.5103526,A,1,4
,,,,,
8v9216fw,C*,326.0497297,A,1,2
,,,,,
948af5d6,R,446.8716354,A,1,2
,,,,,
95etmtvm,R,707.5251084,A,1,6
,,,,,
97qx0lww,R,453.5333313,A,1,6
,,,,,
9a6rkx5k,R,392.529911,A,1,6
,,,,,
9d3uowpz,R,532.6381077,A,1,3
,,,,,
9kd0ouwr,C,415.4209951,A,1,4
,,,,,
9nhzlx1g,R,309.5008137,A,1,4
,,,,,
9opvwld4,C,299.1415424,A,1,1
,,,,,
9pef6xou,C*,580.2797888,A,1,1
,,,,,
9ptzp07x,C,1203.389284,A,1,4
,,,,,
9x4wp3bz,C,3171.147647,A=O,6,2
,,,,,
a088uzsb,C*,323.4376063,A,1,6
,,,,,
a4ei5dk6,C*,573.3876951,A,1,6
,,,,,
abx6u8fd,R*,342.9571124,A,1,5
,,,,,
agi7b4tp,R*,604.2219638,A,1,6
,,,,,
bd888o8h,C,4694.92375,A<O,6,3
,,,,,
bme0wpsk,C*,718.2274598,A,1,5
,,,,,
bwxabjz3,C,3310.214168,A=O,6,3
,,,,,
c035goph,R,309.2110529,A,1,6
,,,,,
c0urfx0c,C*,286.0912973,A,1,3
,,,,,
c9iyf1lu,C,1302.475298,A=O,2,1
,,,,,
ceujoiut,C*,497.4812838,A,1,6
,,,,,
ceuk0xbo,R,1372.94363,A<O,2,2
,,,,,
cfxvv795,R*,823.6650199,A,1,5
,,,,,
d9uvh35s,C,507.0648286,A,1,2
,,,,,
dcsjnlta,R,975.9998386,A<O,2,4
,,,,,
derg8vlg,R,438.7901278,A,1,2
,,,,,
dojmtp3f,C*,1281.580759,A=O,2,3
,,,,,
dokyfiq7,C*,1121.235255,A,1,1
,,,,,
drn43xu2,C*,1197.125422,A,1,4
,,,,,
dtuy8ce1,R*,1225.594585,A<O,2,2
,,,,,
du0k5s2m,C*,493.6570538,A,1,2
,,,,,
ed8pfzqr,R,875.0601277,A,1,2
,,,,,
eh4isfsc,R,301.1702134,A,1,1
,,,,,
eja60qak,R,466.8300511,A,1,6
,,,,,
ekk5vusd,R,423.9364049,A,1,4
,,,,,
ephi9gdp,R*,484.172771,A,1,2
,,,,,
ewl69z0n,R,746.7987213,A,1,3
,,,,,
f9rtw1st,R*,1745.448297,A>O,2,4
,,,,,
fn16vuig,R,391.7385509,A,1,5
,,,,,
fnx4w0n6,R*,470.7640327,A,1,4
,,,,,
ftul4gie,R,391.4128758,A,1,3
,,,,,
fvk59u2e,R*,422.1080931,A,1,6
,,,,,
g8aht9wt,R,416.2842628,A,1,2
,,,,,
gasto7hs,C*,582.1460983,A,1,2
,,,,,
gazl5ur8,C,765.7340761,A,1,5
,,,,,
gkah9cvg,R*,904.9920064,A,1,1
,,,,,
gkqpv5zu,R,713.4054669,A,1,5
,,,,,
gxljzjik,R*,934.0112777,A,1,6
,,,,,
gyglunit,C*,304.0736877,A,1,5
,,,,,
gyuw9wln,C,492.41341,A,1,3
,,,,,
h2c7apmg,R,652.818176,A,1,1
,,,,,
h8mh95mb,R,1863.291859,A<O,2,4
,,,,,
hclbtdpe,R*,407.2963444,A,1,6
,,,,,
hit7fkr0,R,2628.73531,A<O,5,1
,,,,,
hjq4dj4f,C,373.0855477,A,1,2
,,,,,
hq52vcrw,R,312.3184327,A,1,4
,,,,,
hxja1332,R,3487.008967,A=O,6,6
,,,,,
ieecgnoa,C*,415.694748,A,1,2
,,,,,
iixglpx6,C,553.8073066,A,1,4
,,,,,
isova4sd,C,879.4590907,A,1,1
,,,,,
iwb08s1c,C*,431.5957228,A,1,4
,,,,,
iwnfaeat,C*,619.2126676,A,1,6
,,,,,
iz2dp5pl,C,388.3508137,A,1,2
,,,,,
izp03hli,R,452.0082876,A,1,1
,,,,,
j6assjxp,C*,1295.967906,A<O,2,2
,,,,,
j76jemvy,R*,483.6980856,A,1,4
,,,,,
jqrrqz02,R,317.1436527,A,1,1
,,,,,
jva6fodb,C*,2162.772336,A<O,5,1
,,,,,
kcmq4118,R*,1055.99827,A,1,4
,,,,,
kektsp54,R,426.8418211,A,1,5
,,,,,
khfw8rms,C*,699.4055139,A,1,6
,,,,,
kikzqm90,C*,2812.852545,A<O,6,1
,,,,,
knneyeum,R*,496.2813253,A,1,6
,,,,,
knr5ynns,R*,569.4224418,A,1,6
,,,,,
kshddj54,R,499.9100017,A,1,3
,,,,,
ku53a4le,C,5338.934443,A=O,6,1
,,,,,
kuyn8gki,R*,570.985817,A,1,5
,,,,,
kvvtyxil,C,456.3161744,A,1,4
,,,,,
kzye1tz4,R,601.2076852,A,1,6
,,,,,
l1sd9wjx,R*,524.5364668,A,1,4
,,,,,
l7kffmtk,C*,461.0317472,A,1,6
,,,,,
lj774bg5,C,540.4737759,A,1,6
,,,,,
llaumjcf,R*,799.8022883,A,1,6
,,,,,
ln1sw49z,R*,531.1397392,A,1,3
,,,,,
lnxvrblx,C*,623.1308877,A,1,3
,,,,,
m1q0sdfh,R,489.4793077,A,1,1
,,,,,
m2zg8wqb,R*,386.1898588,A,1,5
,,,,,
m851zt8z,R*,601.8504241,A,1,2
,,,,,
mbe0p7hp,C,4724.536051,A=O,6,3
,,,,,
mcjqcd7n,R*,1064.466375,A<O,2,4
,,,,,
mk9mo3kq,C*,547.1099885,A,1,3
,,,,,
mm3vn91h,C*,1036.070615,A,1,5
,,,,,
mtr0objh,R*,476.010709,A,1,4
,,,,,
n0k0e2q7,R,493.2341611,A,1,5
